date	by-2.0	by-nc-2.0	by-nc-nd-2.0	by-nc-sa-2.0	by-nd-2.0	by-sa-2.0
2007-06-22	4432973	5575738	14134578	11143181	1442460	3131062
2007-06-23	4437660	5585058	14159467	11161388	1448904	3136121
2007-06-24	4446310	5597284	14189441	11184971	1453921	3144788
2007-06-25	4456787	5617496	14239780	11212900	1461922	3155431
2007-06-26	4471253	5631964	14276514	11253782	1466979	3158499
2007-06-27	4482549	5642806	14305761	11281518	1473747	3164233
2007-06-28	4494285	5655115	14319139	11294818	1477219	3172004
2007-06-29	4500030	5661413	14336623	11317100	1481025	3181740
2007-06-30	4508178	5672551	14356225	11340908	1484525	3188632
2007-07-01	4513508	5679043	14387962	11363302	1483280	3198321
2007-07-02	4524703	5692519	14433526	11397080	1487193	3208341
2007-07-03	4547228	5702642	14454955	11425151	1491637	3214912
2007-07-04		5717354	14482023	11443966	1497342	3219645
2007-07-05	4533766	5733122	14525334	11473949	1502953	3228092
2007-07-06	4550045	5740269	14566781	11504380	1502779	3234839
2007-07-07	4572623	5756168	14577114	11527041	1508355	3242035
2007-07-08	4585309	5769373	14608554	11546322	1513067	3252019
2007-07-09	4597713	5787320	14647880	11598001	1513516	3259705
2007-07-11	4602333	5826057	14743774	11655550	1522319	3285456
2007-07-12	4613841	5833402	14784574	11683105	1524084	3290645
2007-07-13	4621091	5844952	14803208	11710144	1527264	3296469
2007-07-14	4629410	5861267	14835295	11736423	1529760	3302863
2007-07-15	4644952	5871169	14863636	11760487	1537637	3309075
2007-07-16	4659432	5888207	14901907	11793340	1543240	3318609
2007-07-17	4670342	5909713	14940522	11820057	1547508	3329956
2007-07-18	4687147				1558747	
2007-07-19	4696693	5941352	14996645	11871064	1562186	3344798
2007-07-20	4704477	5960273	15017451	11894558	1564092	3350424
2007-07-21	4713174	5970130	15047126	11918287	1580912	3354489
2007-07-22	4721596	5983732	15080439	11943628	1584547	3362952
2007-07-23	4736434	6005934	15137515	11981621	1588686	3375540
2007-07-24	4743640	6019310	15178228	12024098	1591865	3389430
2007-07-25	4756021	6032606	15205505	12046330	1595418	3396699
2007-07-26	4767680	6046136	15215956	12068817	1600248	3400635
2007-07-27	4776407	6062074	15242166	12101364	1611032	3408645
2007-07-28	4772022	6077128	15259102	12120562	1613281	3419337
2007-07-29	4787143	6091972	15280653	12147988	1620559	3425974
2007-07-31	4817743	6115253	15353399	12197470	1632891	3450384
2007-08-01	4828231	6143315	15395692	12220700	1637216	3458189
2007-08-02	4838767	6153354	15419290	12235992	1641952	3467512
2007-08-03	4846087	6168459	15459887	12262814	1649512	3472792
2007-08-04	4853924	6178125	15487338	12287794	1650744	3479605
2007-08-05	4866672	6198295	15520779	12310901	1656228	3477036
2007-08-07	4894443	6234988	15613522	12377690	1669149	3495986
2007-08-08	4905349	6244588	15651030	12403734	1680790	3504548
2007-08-09	4916955	6260781	15671592	12430461	1684148	3511004
2007-08-10	4928679	6269121	15690816	12445647	1689687	3521569
2007-08-11	4940829	6280611	15714934	12457992	1692530	3528684
2007-08-12	4948355	6298541	15742555	12482306	1695543	3534337
2007-08-13	4962866	6315824	15779484	12521043	1700864	3547687
2007-08-14	4975734	6335053	15813582	12552310	1703475	3557932
2007-08-15	4987256	6344386	15847870	12574757	1704532	3561747
2007-08-16	4996630	6354890	15879504	12605523	1708389	3571128
2007-08-17	5003518	6366625	15921574	12626888	1705560	3580100
2007-08-18	4998407	6380536	15949084	12657609	1708784	3590803
2007-08-19	5020196	6388926	15987986	12679554	1702402	3602218
2007-08-20	5040181	6403892	16028065	12718283	1707326	3610073
2007-08-21	5058837	6417994	16058601	12731912	1710963	3619997
2007-08-22	5067871	6427328	16068645	12752797	1713914	3628894
2007-08-23	5071441	6439497	16079472	12777485	1716188	3638763
2007-08-24	5078182	6450441	16087178	12796839	1718790	3646927
2007-08-25	5090870	6459052	16115763	12805377	1721795	3654509
2007-08-26	5100759	6471336	16154672	12837518	1727519	3659265
2007-08-27	5118333	6491144	16173725	12876790	1729217	3672544
2007-08-28	5135365	6506992	16207478	12920638	1732694	3682017
2007-08-29	5145441	6521809	16240791	12943384	1735571	3691043
2007-08-30	5150388	6528028	16271257	12965189	1741384	3698205
2007-08-31	5157599	6533986	16287496	12984381	1745056	3702534
2007-09-01	5172372	6548461	16308608	13000939	1752202	3703878
2007-09-02	5181826	6561165	16340155	13025026	1754632	3715789
2007-09-03	5197061	6582818	16376287	13058883	1761350	3725827
2007-09-04	5224607	6594743	16434279	13094987	1767203	3738591
2007-09-05	5267506	6611829	16476290	13133689	1772507	3748900
2007-09-06	5272669	6626591	16503514	13157105	1774104	3751676
2007-09-07	5278532	6633261	16522905	13173070	1776851	3758356
2007-09-08	5288059	6642227	16546147	13188863	1779506	3763857
2007-09-09	5290557	6664226	16573570	13218245	1784098	3768085
2007-09-10	5310902	6679451	16613869	13258030	1789375	3775017
2007-09-11	5325804	6687801	16650973	13301803	1794584	3778996
2007-09-12	5333968	6696203	16676660	13324857	1797178	3785469
2007-09-13	5345679	6709086	16704486	13337258	1799431	3792664
2007-09-14	5352190	6721066	16728872	13358922	1802290	3797842
2007-09-15	5361702	6733866	16757320	13385908	1804647	3808187
2007-09-16	5369427	6744099	16789190	13423928	1810170	3816427
2007-09-17		6762141	16830658	13461717	1817809	3825891
2007-09-18	5398097	6775531	16878531	13498736	1819020	3832090
2007-09-19	5412951	6792270	16894765	13520521	1822458	3832067
2007-09-20	5421261	6795518	16922372	13546610	1822282	3848730
2007-09-21	5431218	6810340	16937899	13562062	1822779	3852962
2007-09-22	5422267	6818148	16949677	13580757	1823583	3863578
2007-09-23	5429104	6831576	16949038	13615257	1825640	3870583
2007-09-24	5440741	6848567	16994855	13655669	1835148	3875958
2007-09-25	5448911	6855738	17028482	13696027	1844062	3854451
2007-09-26	5451252	6872928	17037037	13734084	1840272	3859115
2007-09-27	5464741	6883981	17074017	13752831	1839859	3869575
2007-09-28	5472884	6898779	17084834	13780552	1841370	3869155
2007-09-29	5478283	6907869	17116570	13791834	1841732	3874570
2007-09-30	5490925	6920261	17155191	13810317	1845315	3882901
2007-10-01	5510345	6942111	17202358	13839328	1849903	3891020
2007-10-03	5542527	6965742	17227825	13877384	1853905	3901704
2007-10-04	5548830	6974982	17256832	13897960	1856638	3907919
2007-10-05	5542722	6982849	17264540	13932478	1851826	3916954
2007-10-06	5546253	6990257	17277687	13958127	1855583	3921615
2007-10-07	5550730	7010023	17302867	13988800	1858067	3929971
2007-10-08	5571410	7025147	17354688	14035197	1863957	3936519
2007-10-09	5583612	7038072	17387202	14057834	1865072	3943134
