date	by-2.0	by-nc-2.0	by-nc-nd-2.0	by-nc-sa-2.0	by-nd-2.0	by-sa-2.0
2006-06-26	1651437	2175879	4869789	4501361	472673	1182940
2006-06-27	1657872	2183749	4889977	4518753	474779	1186859
2006-06-28	1667100	2190376	4906016	4531526	475432	1191190
2006-06-29	1670751	2197426	4923960	4541347	478556	1194927
2006-06-30	1676251	2201710	4939280	4553489	479579	1197523
2006-07-01	1682853	2207363	4960579	4565287	482704	1200102
2006-07-02	1691746	2213772	4978443	4585163	485005	1205866
2006-07-03	1701946	2223561	4997895	4605853	488570	1214971
2006-07-04	1714534	2229903	5022039	4625574	489231	1219372
2006-07-05	1722586	2241107	5045816	4643240	491007	1224690
2006-07-06	1731814	2252266	5067448	4662877	500162	1227027
2006-07-07	1737457	2258745	5086052	4677372	501400	1229797
2006-07-08	1744320	2264242	5096706	4690953	503573	1237188
2006-07-09	1751007	2271748	5117881	4706857	506390	1241034
2006-07-10	1755998	2284890	5140086	4724643	510911	1246301
2006-07-11	1760119	2293099	5165323	4734075	512683	1250917
2006-07-12	1765535	2299257	5192035	4743875	514563	1254892
2006-07-13	1769658	2307380	5214678	4756435	516556	1257384
2006-07-14	1776571	2314315	5236847	4777800	519942	1253076
2006-07-15	1777090	2324665	5254897	4788192	521087	1256451
2006-07-16	1782793	2332492	5272153	4799668	522774	1261839
2006-07-17	1791079	2341807	5297880	4821128	523049	1266959
2006-07-18	1798029	2353725	5318674	4839042	525724	1274271
2006-07-19	1580276	2065816	5318674	4839042	461264	1121594
2006-07-20	1813175	2366257	5349881	4864443	528392	1284094
2006-07-21	1826134	2370591	5372464	4880465	529682	1286832
2006-07-22	1830793	2376128	5391642	4892329	533324	1290531
2006-07-23	1840405	2385765	5411995	4912373	535098	1295382
2006-07-24	1851939	2396805	5440023	4934055	540921	1301733
2006-07-25	1860758	2405187	5461888	4950629	541997	1307348
2006-07-26	1868174	2412895	5475363	4961523	543763	1310676
2006-07-27	1886717	2421046	5497503	4974220	544137	1316155
2006-07-28	1892753	2423587	5522101	4993753	546626	1320622
2006-07-29	1884325	2431115	5538433	5004348	554547	1325599
2006-07-30	1896715	2439383	5561593	5025440	556275	1329621
2006-07-31	1910564	2449851	5586854	5051159	560207	1336282
2006-08-01	1925684	2459339	5613574	5070695	563605	1342181
2006-08-02	1932186	2468633	5286706	5088852	529649	1263893
2006-08-03	1815560	2474580	5306263	4783602	567289	1268000
2006-08-04	1941766	2326833	5324416	4786891	532935	1356145
2006-08-05	1828110	2489414	5696650	4795442	534210	1362365
2006-08-06	1836221	2499194	5361193	5132866	571674	1368158
2006-08-07	1847245	2511581	5741844	4831082	574913	1375448
2006-08-08	1977573	2519461	5765115	5166156	578570	1383159
2006-08-09	1983599	2527162	5782397	5179421	579571	1387312
2006-08-10	1991187	2534097	5805359	5193824	583311	1390677
2006-08-11	1996455	2540996	5828639	5207847	590499	1395189
2006-08-12	2003504	2548941	5844608	5216642	592441	1398125
2006-08-13	2008655	2556795	5866714	5232211	595254	1401682
2006-08-14	2018739	2566716	5898560	5255510	597973	1407589
2006-08-15	2027171	2575355	5917840	5271369	600975	1414411
2006-08-16	2032609	2588177	5933665	5291403	605062	1419815
2006-08-17	2040844	2595008	5954368	5309385	607829	1424176
2006-08-18	2047035	2589243	5968549	5326565	610806	1436419
2006-08-19	2051537	2595621	5976097	5341318	612818	1442207
2006-08-20	2064295	2603406	5997017	5359347	614906	1446826
2006-08-21	2075027	2615265	6026694	5380048	618390	1453860
2006-08-22	2087932	2623205	6052190	5393911	622911	1458226
2006-08-23	2098985	2630339	6074680	5410615	625351	1462430
2006-08-24	2105424	2636934	6096206	5423366	627271	1465593
2006-08-25	2119771	2648249	6119092	5435145	628511	1469861
2006-08-26	2126414	2655189	6135653	5447738	627784	1472286
2006-08-28	2149508	2679135	6199548	5495698	629207	1483671
2006-08-29	2157633	2686937	6227635	5517969	633548	1487609
2006-08-30	2166492	2696350	6249080	5539096	635706	1490632
2006-08-31	2177332	2700738	6267389	5556651	636925	1495521
2006-09-01	2184907	2709798	6290897	5570855	640508	1499415
2006-09-02	2192158	2714357	6309926	5592432	641616	1504389
2006-09-03	2202771	2720870	6330599	5609874	643684	1509477
2006-09-04	2213481	2729155	6354503	5628346	647159	1516776
2006-09-05	2229980	2736895	6384005	5647891	652436	1521901
2006-09-06	2237854	2741917	6403335	5672134	655749	1525092
2006-09-07	2243775	2755631	6415451	5687616	657230	1528124
2006-09-08	2243948	2769251	6428970	5701977	658942	1533252
2006-09-09	2249207	2774251	6450006	5711988	660356	1545223
2006-09-10	2261906	2780167	6470989	5734117	662351	1547991
2006-09-11	2258927	2788035	6494087	5756868	665959	1553351
2006-09-12	2271182	2798162	6517526	5773147	669820	1557212
2006-09-13	2280102	2804040	6537540	5787957	671420	1560718
2006-09-14	2285041	2810920	6560047	5802385	674107	1563910
2006-09-15	2298333	2816733	6579641	5820645	675547	1568794
2006-09-16	2303765	2820536	6601111	5829679	677386	1573858
2006-09-17	2312148	2829429	6623888	5845733	678653	1578161
2006-09-18	2322563	2838439	6648314	5865804	683364	1582298
2006-09-19	2330841	2846604	6670386	5881433	687013	1590468
2006-09-20	2326596	2841796	6674211	5887014	688393	1593031
2006-09-21	2343101	2857224	6709127	5903124	689606	1602733
2006-09-22	2350372	2865384	6731475	5915634	689762	1605319
2006-09-23	2362525	2869207	6747094	5929558	690460	1610363
2006-09-24	2376997	2876498	6770465	5943434	693755	1609936
2006-09-25	2386005	2887420	6793256	5962597	696437	1615866
2006-09-26	2392716	2895350	6812211	5981581	698103	1622921
2006-09-27	2399429	2902639	6828314	6002110	699553	1621730
2006-09-28	2406753	2908435	6828314	6019304	700801	1624752
2006-09-29	2407463	2915623	6862077	6028658	701952	1628260
2006-09-30	2414913	2922252	6882321	6044255	703514	1635329
2006-10-01	2425924	2931918	6903095	6059623	705190	1641181
2006-10-02	2438767	2946540	6930328	6083193	708353	1647270
2006-10-03	2446593	2949415	6951332	6097600	711417	1652567
2006-10-04	2458078	2958456	6974361	6115299	713875	1653889
2006-10-05	2455107	2962542	6996756	6128795	716141	1656542
2006-10-06	2460008	2967869	7010421	6140800	718049	1659492
2006-10-07	2466174	2975039	7021193	6151996	723448	1662939
2006-10-08	2472404	2984097	7046648	6161207	728739	1667739
2006-10-09	2481270	2995701	7072405	6181718	732107	1675754
2006-10-10	2488612	3006445	7095271	6201324	734243	1683176
2006-10-11	2494312	3017314	7112736	6218678	735471	1686076
2006-10-12	2498201	3022166	7125826	6227974	739162	1690486
2006-10-13	2506951	3031933	7142172	6242932	740092	1695620
2006-10-14	2515518	3039578	7167712	6252661	742450	1697860
2006-10-15	2521765	3048962	7192108	6273943	741361	1705120
2006-10-16	2533963	3059583	7221943	6296149	744050	1711692
2006-10-17	2544685	3065836	7244613	6324745	743460	1715221
2006-10-18	2552759	3071688	7271054	6340825	744717	1719432
2006-10-19	2560583	3080189	7298240	6360477	744874	1725411
2006-10-20	2557810	3101200	7317552	6373986	747510	1730618
2006-10-21	2561477	3107896	7345711	6389898	749435	1730510
2006-10-22	2571682	3116584	7379431	6414022	751927	1733693
2006-10-23	2579626	3128566	7431417	6437209	757034	1744483
2006-10-24	2587352	3137439	7471504	6459547	755521	1752000
2006-10-25	2592944	3149461	7498710	6472658	759330	1754696
2006-10-26	2599006	3158356	7521792	6490239	761353	1762140
2006-10-27	2608612	3171026	7546028	6508611	763627	1764944
2006-10-28	2619606	3171459	7575662	6523180	763543	1769837
2006-10-29	2627182	3183316	7616516	6542814	765461	1778184
2006-10-30	2641331	3209395	7653673	6571776	771189	1781734
2006-10-31	2645051	3223517	7703494	6595046	776415	1788411
